"Time","spgwu2","spgwu"
2022-07-25 22:09:15,142,128
2022-07-25 22:09:30,138,84.8
2022-07-25 22:09:45,138,84.8
2022-07-25 22:10:00,84.5,163
2022-07-25 22:10:15,84.5,163
2022-07-25 22:10:30,141,144
2022-07-25 22:10:45,141,144
2022-07-25 22:11:00,153,132
2022-07-25 22:11:15,153,132
2022-07-25 22:11:30,157,119
2022-07-25 22:11:45,157,119
2022-07-25 22:12:00,85.5,155
2022-07-25 22:12:15,85.5,155
2022-07-25 22:12:30,175,153
2022-07-25 22:12:45,175,153
2022-07-25 22:13:00,150,152
2022-07-25 22:13:15,150,152
2022-07-25 22:13:30,167,147
2022-07-25 22:13:45,167,147
2022-07-25 22:14:00,148,110
2022-07-25 22:14:15,148,110
2022-07-25 22:14:30,173,186
2022-07-25 22:14:45,173,186
2022-07-25 22:15:00,178,227
2022-07-25 22:15:15,178,227
2022-07-25 22:15:30,151,78.4
2022-07-25 22:15:45,151,78.4
2022-07-25 22:16:00,136,207
2022-07-25 22:16:15,136,207
2022-07-25 22:16:30,202,173
2022-07-25 22:16:45,202,173
2022-07-25 22:17:00,216,211
2022-07-25 22:17:15,216,211
2022-07-25 22:17:30,102,163
2022-07-25 22:17:45,102,163
2022-07-25 22:18:00,208,163
2022-07-25 22:18:15,208,163
2022-07-25 22:18:30,87.5,131
2022-07-25 22:18:45,87.5,131
2022-07-25 22:19:00,198,195
2022-07-25 22:19:15,198,195
2022-07-25 22:19:30,143,153
2022-07-25 22:19:45,143,153
2022-07-25 22:20:00,177,153
2022-07-25 22:20:15,177,153
2022-07-25 22:20:30,134,126
2022-07-25 22:20:45,134,126
2022-07-25 22:21:00,124,76.5
2022-07-25 22:21:15,124,76.5
2022-07-25 22:21:30,85.1,131
2022-07-25 22:21:45,85.1,131
2022-07-25 22:22:00,121,108
2022-07-25 22:22:15,121,108
2022-07-25 22:22:30,96.1,61.7
2022-07-25 22:22:45,96.1,61.7
2022-07-25 22:23:00,89.1,102
2022-07-25 22:23:15,89.1,102
2022-07-25 22:23:30,99.0,82.7
2022-07-25 22:23:45,99.0,82.7
2022-07-25 22:24:00,71.9,93.2
2022-07-25 22:24:15,71.9,93.2
2022-07-25 22:24:30,72.0,70.0
2022-07-25 22:24:45,72.0,70.0
2022-07-25 22:25:00,76.3,92.4
2022-07-25 22:25:15,76.3,92.4
2022-07-25 22:25:30,96.8,55.4
2022-07-25 22:25:45,96.8,55.4
2022-07-25 22:26:00,47.5,85.1
2022-07-25 22:26:15,47.5,85.1
2022-07-25 22:26:30,70.0,69.2
