"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod04820779-9447-4d53-a7a3-da3d6244a882/a124adbc6c520567adfe77ba77ca8b846d61e6cd538fb91936378527d072a3cb"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu3-5fd5bb6d57-nn4mk_oai_04820779-9447-4d53-a7a3-da3d6244a882_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu3-5fd5bb6d57-nn4mk"", service=""kubelet""}"
2022-07-24 18:07:00,67.2
2022-07-24 18:07:15,57.6
2022-07-24 18:07:30,57.6
2022-07-24 18:07:45,33.2
2022-07-24 18:08:00,33.2
2022-07-24 18:08:15,62.9
2022-07-24 18:08:30,62.9
2022-07-24 18:08:45,48.2
2022-07-24 18:09:00,48.2
2022-07-24 18:09:15,47.2
2022-07-24 18:09:30,47.2
2022-07-24 18:09:45,53.8
2022-07-24 18:10:00,53.8
2022-07-24 18:10:15,57.5
2022-07-24 18:10:30,57.5
2022-07-24 18:10:45,38.4
2022-07-24 18:11:00,38.4
2022-07-24 18:11:15,90.6
2022-07-24 18:11:30,90.6
2022-07-24 18:11:45,60.1
2022-07-24 18:12:00,60.1
2022-07-24 18:12:15,35.6
2022-07-24 18:12:30,35.6
2022-07-24 18:12:45,73.9
2022-07-24 18:13:00,73.9
2022-07-24 18:13:15,51.3
2022-07-24 18:13:30,51.3
2022-07-24 18:13:45,65.1
2022-07-24 18:14:00,65.1
2022-07-24 18:14:15,68.6
2022-07-24 18:14:30,68.6
2022-07-24 18:14:45,68.1
2022-07-24 18:15:00,68.1
2022-07-24 18:15:15,55.2
2022-07-24 18:15:30,55.2
2022-07-24 18:15:45,60.6
2022-07-24 18:16:00,60.6
2022-07-24 18:16:15,57.6
2022-07-24 18:16:30,57.6
2022-07-24 18:16:45,35
2022-07-24 18:17:00,35
2022-07-24 18:17:15,63.7
2022-07-24 18:17:30,63.7
2022-07-24 18:17:45,39.8
2022-07-24 18:18:00,39.8
2022-07-24 18:18:15,83.2
2022-07-24 18:18:30,83.2
2022-07-24 18:18:45,27.4
2022-07-24 18:19:00,27.4
2022-07-24 18:19:15,71.7
2022-07-24 18:19:30,71.7
2022-07-24 18:19:45,45.1
2022-07-24 18:20:00,45.1
2022-07-24 18:20:15,41.0
2022-07-24 18:20:30,41.0
2022-07-24 18:20:45,28.8
2022-07-24 18:21:00,28.8
2022-07-24 18:21:15,48.7
2022-07-24 18:21:30,48.7
2022-07-24 18:21:45,18.5
2022-07-24 18:22:00,18.5
2022-07-24 18:22:15,41.3
2022-07-24 18:22:30,41.3
2022-07-24 18:22:45,27.5
2022-07-24 18:23:00,27.5
2022-07-24 18:23:15,31.7
2022-07-24 18:23:30,31.7
2022-07-24 18:23:45,23.3
2022-07-24 18:24:00,23.3
2022-07-24 18:24:15,24.7
2022-07-24 18:24:30,24.7
2022-07-24 18:24:45,32.4
2022-07-24 18:25:00,32.4
2022-07-24 18:25:15,35.4
2022-07-24 18:25:30,35.4
2022-07-24 18:25:45,12.2
2022-07-24 18:26:00,12.2
2022-07-24 18:26:15,34.0
2022-07-24 18:26:30,34.0
2022-07-24 18:26:45,32.8
2022-07-24 18:27:00,32.8
2022-07-24 18:27:15,44.0
2022-07-24 18:27:30,44.0
2022-07-24 18:27:45,18.4
2022-07-24 18:28:00,18.4
2022-07-24 18:28:15,50.1
