"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod3db28395-2137-47dc-bd8e-65dcd590e8c6/8261f072fdfd0ae72711f0bbb57b458bf58187aa65f6a0608aca56ab18409ea0"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu-5fd5bb6d57-6v648_oai_3db28395-2137-47dc-bd8e-65dcd590e8c6_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu-5fd5bb6d57-6v648"", service=""kubelet""}"
2022-07-23 16:52:45,82
2022-07-23 16:53:00,74.0
2022-07-23 16:53:15,74
2022-07-23 16:53:30,66.6
2022-07-23 16:53:45,66.6
2022-07-23 16:54:00,56.3
2022-07-23 16:54:15,56.3
2022-07-23 16:54:30,77.7
2022-07-23 16:54:45,77.7
2022-07-23 16:55:00,82.8
2022-07-23 16:55:15,82.8
2022-07-23 16:55:30,63.6
2022-07-23 16:55:45,63.6
2022-07-23 16:56:00,64.0
2022-07-23 16:56:15,64
2022-07-23 16:56:30,52.2
2022-07-23 16:56:45,52.2
2022-07-23 16:57:00,42.8
2022-07-23 16:57:15,42.8
2022-07-23 16:57:30,51.9
2022-07-23 16:57:45,51.9
2022-07-23 16:58:00,37.5
2022-07-23 16:58:15,37.5
2022-07-23 16:58:30,30.7
2022-07-23 16:58:45,30.7
2022-07-23 16:59:00,30.1
2022-07-23 16:59:15,30.1
2022-07-23 16:59:30,46.0
2022-07-23 16:59:45,46
2022-07-23 17:00:00,20.6
2022-07-23 17:00:15,20.6
2022-07-23 17:00:30,39.6
2022-07-23 17:00:45,39.6
2022-07-23 17:01:00,39.9
2022-07-23 17:01:15,39.9
2022-07-23 17:01:30,43.5
2022-07-23 17:01:45,43.5
2022-07-23 17:02:00,42.0
2022-07-23 17:02:15,42
2022-07-23 17:02:30,52.8
2022-07-23 17:02:45,52.8
2022-07-23 17:03:00,31.0
2022-07-23 17:03:15,31.0
2022-07-23 17:03:30,65.0
2022-07-23 17:03:45,65.0
2022-07-23 17:04:00,67.8
2022-07-23 17:04:15,67.8
2022-07-23 17:04:30,86.7
2022-07-23 17:04:45,86.7
2022-07-23 17:05:00,82.4
2022-07-23 17:05:15,82.4
2022-07-23 17:05:30,99.1
2022-07-23 17:05:45,99.1
2022-07-23 17:06:00,104
2022-07-23 17:06:15,104
2022-07-23 17:06:30,91.7
2022-07-23 17:06:45,91.7
2022-07-23 17:07:00,58.8
2022-07-23 17:07:15,58.8
2022-07-23 17:07:30,99.3
2022-07-23 17:07:45,99.3
2022-07-23 17:08:00,73.0
2022-07-23 17:08:15,73.0
2022-07-23 17:08:30,87.2
2022-07-23 17:08:45,87.2
2022-07-23 17:09:00,125
2022-07-23 17:09:15,126
2022-07-23 17:09:30,58.9
2022-07-23 17:09:45,58.9
2022-07-23 17:10:00,94.9
2022-07-23 17:10:15,94.9
2022-07-23 17:10:30,102
2022-07-23 17:10:45,103
2022-07-23 17:11:00,93.7
2022-07-23 17:11:15,93.7
2022-07-23 17:11:30,121
2022-07-23 17:11:45,121
2022-07-23 17:12:00,56.4
2022-07-23 17:12:15,56.4
2022-07-23 17:12:30,153
2022-07-23 17:12:45,153
2022-07-23 17:13:00,80.5
2022-07-23 17:13:15,80.5
2022-07-23 17:13:30,91.5
2022-07-23 17:13:45,91.5
2022-07-23 17:14:00,118
2022-07-23 17:14:15,118
2022-07-23 17:14:30,69.2
2022-07-23 17:14:45,69.2
2022-07-23 17:15:00,124
2022-07-23 17:15:15,124
2022-07-23 17:15:30,105
2022-07-23 17:15:45,105
2022-07-23 17:16:00,75.7
2022-07-23 17:16:15,75.7
2022-07-23 17:16:30,90.8
2022-07-23 17:16:45,90.8
2022-07-23 17:17:00,107
2022-07-23 17:17:15,107
2022-07-23 17:17:30,93.7
2022-07-23 17:17:45,93.7
2022-07-23 17:18:00,90.7
2022-07-23 17:18:15,90.7
2022-07-23 17:18:30,80.2
2022-07-23 17:18:45,80.2
2022-07-23 17:19:00,96.1
2022-07-23 17:19:15,96.1
2022-07-23 17:19:30,73.0
2022-07-23 17:19:45,73
2022-07-23 17:20:00,65.0
2022-07-23 17:20:15,65
2022-07-23 17:20:30,36.7
2022-07-23 17:20:45,36.7
2022-07-23 17:21:00,59.5
2022-07-23 17:21:15,59.5
2022-07-23 17:21:30,55.4
2022-07-23 17:21:45,55.4
2022-07-23 17:22:00,51.6
2022-07-23 17:22:15,51.6
2022-07-23 17:22:30,47.9
2022-07-23 17:22:45,47.9
2022-07-23 17:23:00,52.4
2022-07-23 17:23:15,52.4
2022-07-23 17:23:30,37.4
2022-07-23 17:23:45,37.4
2022-07-23 17:24:00,39.7
2022-07-23 17:24:15,39.7
2022-07-23 17:24:30,61.3
2022-07-23 17:24:45,61.3
2022-07-23 17:25:00,41.7
2022-07-23 17:25:15,41.7
2022-07-23 17:25:30,55.8
2022-07-23 17:25:45,55.8
2022-07-23 17:26:00,25.2
2022-07-23 17:26:15,25.2
2022-07-23 17:26:30,66.4
2022-07-23 17:26:45,66.4
2022-07-23 17:27:00,53.4
2022-07-23 17:27:15,53.4
2022-07-23 17:27:30,51.3
2022-07-23 17:27:45,51.3
2022-07-23 17:28:00,67.4
2022-07-23 17:28:15,67.4
2022-07-23 17:28:30,77.6
2022-07-23 17:28:45,77.6
2022-07-23 17:29:00,107
2022-07-23 17:29:15,107
2022-07-23 17:29:30,48.5
2022-07-23 17:29:45,48.5
2022-07-23 17:30:00,73.7
2022-07-23 17:30:15,73.7
2022-07-23 17:30:30,132
2022-07-23 17:30:45,132
2022-07-23 17:31:00,77.5
2022-07-23 17:31:15,77.5
2022-07-23 17:31:30,50.3
2022-07-23 17:31:45,50.3
2022-07-23 17:32:00,115
2022-07-23 17:32:15,115
2022-07-23 17:32:30,107
2022-07-23 17:32:45,107
2022-07-23 17:33:00,55.0
2022-07-23 17:33:15,55.0
2022-07-23 17:33:30,101
2022-07-23 17:33:45,101
2022-07-23 17:34:00,114
2022-07-23 17:34:15,114
2022-07-23 17:34:30,93.6
2022-07-23 17:34:45,93.6
2022-07-23 17:35:00,97.8
2022-07-23 17:35:15,97.8
2022-07-23 17:35:30,57.4
2022-07-23 17:35:45,57.4
2022-07-23 17:36:00,102
2022-07-23 17:36:15,102
2022-07-23 17:36:30,143
2022-07-23 17:36:45,143
2022-07-23 17:37:00,107
2022-07-23 17:37:15,107
2022-07-23 17:37:30,115
2022-07-23 17:37:45,115
2022-07-23 17:38:00,107
2022-07-23 17:38:15,107
2022-07-23 17:38:30,106
2022-07-23 17:38:45,106
2022-07-23 17:39:00,145
2022-07-23 17:39:15,145
2022-07-23 17:39:30,129
2022-07-23 17:39:45,129
2022-07-23 17:40:00,66.6
2022-07-23 17:40:15,66.6
2022-07-23 17:40:30,140
2022-07-23 17:40:45,140
2022-07-23 17:41:00,92.7
2022-07-23 17:41:15,92.7
2022-07-23 17:41:30,88.9
2022-07-23 17:41:45,88.9
2022-07-23 17:42:00,129
2022-07-23 17:42:15,129
2022-07-23 17:42:30,86.4
2022-07-23 17:42:45,86.4
2022-07-23 17:43:00,64.4
2022-07-23 17:43:15,64.4
2022-07-23 17:43:30,99.6
2022-07-23 17:43:45,99.6
2022-07-23 17:44:00,61.4
2022-07-23 17:44:15,61.4
2022-07-23 17:44:30,61.4
2022-07-23 17:44:45,61.4
2022-07-23 17:45:00,38.1
2022-07-23 17:45:15,38.1
2022-07-23 17:45:30,56.7
2022-07-23 17:45:45,56.7
2022-07-23 17:46:00,80.0
2022-07-23 17:46:15,80.0
2022-07-23 17:46:30,29.5
2022-07-23 17:46:45,29.5
2022-07-23 17:47:00,57.4
2022-07-23 17:47:15,57.4
2022-07-23 17:47:30,54.0
2022-07-23 17:47:45,54
2022-07-23 17:48:00,55.1
2022-07-23 17:48:15,55.1
2022-07-23 17:48:30,51.4
2022-07-23 17:48:45,51.4
2022-07-23 17:49:00,57.5
2022-07-23 17:49:15,57.5
2022-07-23 17:49:30,24.1
2022-07-23 17:49:45,24.1
2022-07-23 17:50:00,82.0
2022-07-23 17:50:15,82.0
2022-07-23 17:50:30,29.9
2022-07-23 17:50:45,29.9
2022-07-23 17:51:00,86.2
2022-07-23 17:51:15,86.2
2022-07-23 17:51:30,88.8
2022-07-23 17:51:45,88.8
2022-07-23 17:52:00,131
2022-07-23 17:52:15,131
2022-07-23 17:52:30,96.9
2022-07-23 17:52:45,96.9
2022-07-23 17:53:00,141
2022-07-23 17:53:15,141
2022-07-23 17:53:30,145
2022-07-23 17:53:45,145
2022-07-23 17:54:00,130
2022-07-23 17:54:15,130
2022-07-23 17:54:30,208
2022-07-23 17:54:45,208
2022-07-23 17:55:00,152
2022-07-23 17:55:15,152
2022-07-23 17:55:30,117
2022-07-23 17:55:45,117
2022-07-23 17:56:00,188
2022-07-23 17:56:15,188
2022-07-23 17:56:30,151
2022-07-23 17:56:45,151
2022-07-23 17:57:00,162
2022-07-23 17:57:15,162
2022-07-23 17:57:30,120
2022-07-23 17:57:45,120
2022-07-23 17:58:00,267
2022-07-23 17:58:15,267
2022-07-23 17:58:30,167
2022-07-23 17:58:45,167
2022-07-23 17:59:00,69.3
2022-07-23 17:59:15,69.3
2022-07-23 17:59:30,206
2022-07-23 17:59:45,206
2022-07-23 18:00:00,210
2022-07-23 18:00:15,210
2022-07-23 18:00:30,141
2022-07-23 18:00:45,141
2022-07-23 18:01:00,225
2022-07-23 18:01:15,225
2022-07-23 18:01:30,108
2022-07-23 18:01:45,108
2022-07-23 18:02:00,194
2022-07-23 18:02:15,194
2022-07-23 18:02:30,133
2022-07-23 18:02:45,133
2022-07-23 18:03:00,246
2022-07-23 18:03:15,246
2022-07-23 18:03:30,91.5
2022-07-23 18:03:45,91.5
2022-07-23 18:04:00,176
2022-07-23 18:04:15,176
2022-07-23 18:04:30,123
2022-07-23 18:04:45,123
2022-07-23 18:05:00,165
2022-07-23 18:05:15,165
2022-07-23 18:05:30,87.0
2022-07-23 18:05:45,87
2022-07-23 18:06:00,127
2022-07-23 18:06:15,127
2022-07-23 18:06:30,171
2022-07-23 18:06:45,171
2022-07-23 18:07:00,136
2022-07-23 18:07:15,136
2022-07-23 18:07:30,146
2022-07-23 18:07:45,146
2022-07-23 18:08:00,83.9
2022-07-23 18:08:15,83.9
2022-07-23 18:08:30,87.3
2022-07-23 18:08:45,87.3
2022-07-23 18:09:00,59.8
2022-07-23 18:09:15,59.8
2022-07-23 18:09:30,74.1
2022-07-23 18:09:45,74.1
2022-07-23 18:10:00,36.7
2022-07-23 18:10:15,36.7
2022-07-23 18:10:30,87.0
2022-07-23 18:10:45,87
2022-07-23 18:11:00,71.6
2022-07-23 18:11:15,71.6
2022-07-23 18:11:30,37.2
2022-07-23 18:11:45,37.2
2022-07-23 18:12:00,73.7
2022-07-23 18:12:15,73.7
2022-07-23 18:12:30,49.4
2022-07-23 18:12:45,49.4
2022-07-23 18:13:00,46.7
2022-07-23 18:13:15,46.7
2022-07-23 18:13:30,68.4
2022-07-23 18:13:45,68.4
2022-07-23 18:14:00,58.2
2022-07-23 18:14:15,58.2
2022-07-23 18:14:30,62.3
2022-07-23 18:14:45,62.3
2022-07-23 18:15:00,36.4
2022-07-23 18:15:15,36.4
2022-07-23 18:15:30,133
2022-07-23 18:15:45,133
2022-07-23 18:16:00,123
2022-07-23 18:16:15,123
2022-07-23 18:16:30,148
2022-07-23 18:16:45,148
2022-07-23 18:17:00,149
2022-07-23 18:17:15,149
2022-07-23 18:17:30,165
2022-07-23 18:17:45,165
2022-07-23 18:18:00,139
2022-07-23 18:18:15,139
2022-07-23 18:18:30,236
