"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod339c179a-11e8-4db8-a2c4-d436c9660c02/c50bfa066e752765c5a93e2f3995b99bbfdb6b09425ac0293f686d402c64dc9d"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu2-5fd5bb6d57-xsm8m_oai_339c179a-11e8-4db8-a2c4-d436c9660c02_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu2-5fd5bb6d57-xsm8m"", service=""kubelet""}"
2022-07-23 20:44:15,32.8
2022-07-23 20:44:30,23.6
2022-07-23 20:44:45,23.6
2022-07-23 20:45:00,31.5
2022-07-23 20:45:15,31.5
2022-07-23 20:45:30,23.9
2022-07-23 20:45:45,23.9
2022-07-23 20:46:00,27.0
2022-07-23 20:46:15,27.0
2022-07-23 20:46:30,29.3
2022-07-23 20:46:45,29.3
2022-07-23 20:47:00,17.5
2022-07-23 20:47:15,17.5
2022-07-23 20:47:30,43.3
2022-07-23 20:47:45,43.3
2022-07-23 20:48:00,15.1
2022-07-23 20:48:15,15.1
2022-07-23 20:48:30,56.9
2022-07-23 20:48:45,56.9
2022-07-23 20:49:00,43.9
2022-07-23 20:49:15,43.9
2022-07-23 20:49:30,45.1
2022-07-23 20:49:45,45.1
2022-07-23 20:50:00,52.4
2022-07-23 20:50:15,52.4
2022-07-23 20:50:30,56.2
2022-07-23 20:50:45,56.2
2022-07-23 20:51:00,72.2
2022-07-23 20:51:15,72.2
2022-07-23 20:51:30,42.5
2022-07-23 20:51:45,42.5
2022-07-23 20:52:00,83.5
2022-07-23 20:52:15,83.5
2022-07-23 20:52:30,92.8
2022-07-23 20:52:45,92.8
2022-07-23 20:53:00,39.4
2022-07-23 20:53:15,39.4
2022-07-23 20:53:30,72.0
2022-07-23 20:53:45,72.0
2022-07-23 20:54:00,70.9
2022-07-23 20:54:15,70.9
2022-07-23 20:54:30,74.8
2022-07-23 20:54:45,74.8
2022-07-23 20:55:00,43.2
2022-07-23 20:55:15,43.2
2022-07-23 20:55:30,68.2
2022-07-23 20:55:45,68.2
2022-07-23 20:56:00,86.8
2022-07-23 20:56:15,86.8
2022-07-23 20:56:30,82.0
2022-07-23 20:56:45,82.0
2022-07-23 20:57:00,45.5
2022-07-23 20:57:15,45.5
2022-07-23 20:57:30,85.4
2022-07-23 20:57:45,85.4
2022-07-23 20:58:00,58.1
2022-07-23 20:58:15,58.1
2022-07-23 20:58:30,114
2022-07-23 20:58:45,114
2022-07-23 20:59:00,44.0
2022-07-23 20:59:15,44.0
2022-07-23 20:59:30,74.9
2022-07-23 20:59:45,74.9
2022-07-23 21:00:00,86.8
2022-07-23 21:00:15,86.8
2022-07-23 21:00:30,65.8
2022-07-23 21:00:45,65.8
2022-07-23 21:01:00,75.0
2022-07-23 21:01:15,75.0
2022-07-23 21:01:30,95.3
2022-07-23 21:01:45,95.3
2022-07-23 21:02:00,62.1
2022-07-23 21:02:15,62.1
2022-07-23 21:02:30,82.9
2022-07-23 21:02:45,82.9
2022-07-23 21:03:00,60.8
2022-07-23 21:03:15,60.8
2022-07-23 21:03:30,60.8
2022-07-23 21:03:45,60.8
2022-07-23 21:04:00,56.6
2022-07-23 21:04:15,56.6
2022-07-23 21:04:30,88.6
2022-07-23 21:04:45,88.6
2022-07-23 21:05:00,47.2
2022-07-23 21:05:15,47.2
2022-07-23 21:05:30,43.0
2022-07-23 21:05:45,43.0
2022-07-23 21:06:00,51.0
2022-07-23 21:06:15,51.0
2022-07-23 21:06:30,49.3
2022-07-23 21:06:45,49.3
2022-07-23 21:07:00,45.7
2022-07-23 21:07:15,45.7
2022-07-23 21:07:30,35.4
2022-07-23 21:07:45,35.4
2022-07-23 21:08:00,36.8
2022-07-23 21:08:15,36.8
2022-07-23 21:08:30,41.7
2022-07-23 21:08:45,41.7
2022-07-23 21:09:00,37.8
2022-07-23 21:09:15,37.8
2022-07-23 21:09:30,21.3
2022-07-23 21:09:45,21.3
2022-07-23 21:10:00,49.8
2022-07-23 21:10:15,49.8
2022-07-23 21:10:30,21.2
2022-07-23 21:10:45,21.2
2022-07-23 21:11:00,39.9
2022-07-23 21:11:15,39.9
2022-07-23 21:11:30,37.2
2022-07-23 21:11:45,37.2
2022-07-23 21:12:00,39.6
2022-07-23 21:12:15,39.6
2022-07-23 21:12:30,45.2
2022-07-23 21:12:45,45.2
2022-07-23 21:13:00,37.8
2022-07-23 21:13:15,37.8
2022-07-23 21:13:30,37.9
2022-07-23 21:13:45,37.9
2022-07-23 21:14:00,53.2
2022-07-23 21:14:15,53.2
2022-07-23 21:14:30,67.8
2022-07-23 21:14:45,67.8
2022-07-23 21:15:00,54.0
2022-07-23 21:15:15,54.0
2022-07-23 21:15:30,71.7
2022-07-23 21:15:45,71.7
2022-07-23 21:16:00,62.9
2022-07-23 21:16:15,62.9
2022-07-23 21:16:30,64.1
2022-07-23 21:16:45,64.1
2022-07-23 21:17:00,38.5
2022-07-23 21:17:15,38.5
2022-07-23 21:17:30,100
2022-07-23 21:17:45,100
2022-07-23 21:18:00,44.1
2022-07-23 21:18:15,44.1
